Services,Transportation and warehousing,Transportation and warehousing,Taxi and limousine service [4853],"1,059",
Services,Transportation and warehousing,Transportation and warehousing,Other transit and ground passenger transportation and scenic and sightseeing transportation [48A] 3,"2,251",
Services,Transportation and warehousing,"Energy sector	",Pipeline transportation of natural gas [4862],"2,923",
Services,Transportation and warehousing,"Energy sector	",Crude oil and other pipeline transportation [486A] 3,"3,342",
Services,Transportation and warehousing,Support activities for transportation [488],Support activities for transportation [488],"15,365",
Services,Transportation and warehousing,Postal and courier services,Postal service [491],"2,917",
Services,Transportation and warehousing,Postal and courier services,Couriers and messengers [492],"3,574",
Services,Transportation and warehousing,Warehousing and storage [493],Warehousing and storage [493],"2,891",
Services,Information and cultural industries,"Content and media sector	",Publishing industries (except Internet) [511],"9,776",
Services,Information and cultural industries,"Content and media sector	",Motion picture and sound recording industries [512],"4,627",
Services,Information and cultural industries,"Content and media sector	",Radio and television broadcasting [5151],"2,387",
Services,Information and cultural industries,"Content and media sector	",Pay and specialty television [5152],"1,074",
Services,Information and cultural industries,"Information and communication technology, services",Telecommunications [517],"30,501",
Services,Information and cultural industries,"Information and communication technology, services","Data processing, hosting, and related services [518]","1,749",
Services,Information and cultural industries,"Content and media sector	",Other information services [519],"2,208",
Services,Business Sector,Finance and insurance,Local credit unions [52213],"4,998",
Services,Business Sector,Finance and insurance,"Banking, monetary authorities and other depository credit intermediation [52BX] 3","59,196",
Services,Business Sector,Finance and insurance,Non-depository credit intermediation [5222],"6,880",
Services,Business Sector,Finance and insurance,Activities related to credit intermediation [5223],"2,258",
Services,Business Sector,Finance and insurance,Insurance carriers [5241],"21,448",
Services,Business Sector,Finance and insurance,"Agencies, brokerages and other insurance related activities [5242]","6,738",
Services,Business Sector,Finance and insurance,"Financial investment services, funds and other financial vehicles [52A] 3","22,811",
Services,Business Sector,Real estate and rental and leasing,Lessors of real estate [5311],"59,312",
Services,Business Sector,Real estate and rental and leasing,Owner-occupied dwellings [5311A],"146,511",
Services,Business Sector,Real estate and rental and leasing,Offices of real estate agents and brokers and activities related to real estate [531A] 3,"8,827",
Services,Business Sector,Real estate and rental and leasing,Automotive equipment rental and leasing [5321],"3,699",
Services,Business Sector,Real estate and rental and leasing,Rental and leasing services (except automotive equipment) [532A] 3,"8,147",
Services,Business Sector,Real estate and rental and leasing,Lessors of non-financial intangible assets (except copyrighted works) [533],"1,762",
Services,Business Sector,"Professional, scientific and technical services",Legal services [5411],"11,229",
Services,Business Sector,"Professional, scientific and technical services","Accounting, tax preparation, bookkeeping and payroll services [5412]","11,507",
Services,Business Sector,"Professional, scientific and technical services","Architectural, engineering and related services [5413]","20,642",
Services,Business Sector,"Professional, scientific and technical services",Computer systems design and related services [5415],"29,131",
Services,Business Sector,"Professional, scientific and technical services","Advertising, public relations, and related services [5418]","4,298",
Services,Business Sector,"Professional, scientific and technical services",Specialized design services [5414],"1,216",
Services,Business Sector,"Professional, scientific and technical services","Management, scientific and technical consulting services [5416]","12,160",
Services,Business Sector,"Professional, scientific and technical services",Scientific research and development services [5417],"4,095",
